set_num,name,year,theme_id,num_parts,img_url
03093,The Race to Build It Board Game,1999,674,77,https://cdn.rebrickable.com/media/sets/03093-1.jpg
10000,Guarded Inn,2001,199,256,https://cdn.rebrickable.com/media/sets/10000-1.jpg
10001,Metroliner,2001,233,787,https://cdn.rebrickable.com/media/sets/10001-1.jpg
10002,Railroad Club Car,2001,233,293,https://cdn.rebrickable.com/media/sets/10002-1.jpg
10003,1 x 2 Sand Red Bricks,2001,254,100,https://cdn.rebrickable.com/media/sets/10003-1.jpg
10004,2 x 2 Sand Red Bricks,2001,254,100,https://cdn.rebrickable.com/media/sets/10004-1.jpg
10005,2 x 4 Sand Red Bricks,2001,254,50,https://cdn.rebrickable.com/media/sets/10005-1.jpg
10006,1 x 6 Sand Red Bricks,2001,254,50,https://cdn.rebrickable.com/media/sets/10006-1.jpg
10007,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,254,25,https://cdn.rebrickable.com/media/sets/10007-1.jpg
10008,2 x 4 Roof Tile Sand Red,2001,254,50,https://cdn.rebrickable.com/media/sets/10008-1.jpg
10009,Assorted Blue Bricks,2001,254,62,https://cdn.rebrickable.com/media/sets/10009-1.jpg
10010,Assorted Yellow Bricks,2003,254,62,https://cdn.rebrickable.com/media/sets/10010-1.jpg
10011,Assorted Blue Plates,2001,254,42,https://cdn.rebrickable.com/media/sets/10011-1.jpg
10012,Assorted Yellow Plates,2001,254,42,https://cdn.rebrickable.com/media/sets/10012-1.jpg
10013,Open Freight Wagon,2001,236,121,https://cdn.rebrickable.com/media/sets/10013-1.jpg
10014,Caboose,2001,236,170,https://cdn.rebrickable.com/media/sets/10014-1.jpg
10015,Passenger Wagon,2001,236,194,https://cdn.rebrickable.com/media/sets/10015-1.jpg
10016,Tanker,2001,236,128,https://cdn.rebrickable.com/media/sets/10016-1.jpg
10017,Hopper Wagon,2001,236,228,https://cdn.rebrickable.com/media/sets/10017-1.jpg
10018,Darth Maul,2001,171,1868,https://cdn.rebrickable.com/media/sets/10018-1.jpg
10019,Rebel Blockade Runner,2001,171,1748,https://cdn.rebrickable.com/media/sets/10019-1.jpg
10020,Santa Fe Super Chief,2002,236,435,https://cdn.rebrickable.com/media/sets/10020-1.jpg
10021,U.S.S. Constellation,2003,404,975,https://cdn.rebrickable.com/media/sets/10021-1.jpg
10022,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,236,411,https://cdn.rebrickable.com/media/sets/10022-1.jpg
10023,Master Builder Set,2002,324,111,https://cdn.rebrickable.com/media/sets/10023-1.jpg
10024,Red Baron,2002,673,670,https://cdn.rebrickable.com/media/sets/10024-1.jpg
10025,Santa Fe Cars - Set I (mail or baggage car),2002,236,326,https://cdn.rebrickable.com/media/sets/10025-1.jpg
10026,Naboo Starfighter,2002,171,188,https://cdn.rebrickable.com/media/sets/10026-1.jpg
10027,Train Engine Shed,2003,105,670,https://cdn.rebrickable.com/media/sets/10027-1.jpg
10029,Lunar Lander,2003,387,469,https://cdn.rebrickable.com/media/sets/10029-1.jpg
10030,Imperial Star Destroyer,2002,171,3116,https://cdn.rebrickable.com/media/sets/10030-1.jpg
10036,Pizza To Go,2002,50,151,https://cdn.rebrickable.com/media/sets/10036-1.jpg
10037,Breezeway Cafe,2002,50,195,https://cdn.rebrickable.com/media/sets/10037-1.jpg
10039,Black Falcon's Fortress,2002,187,430,https://cdn.rebrickable.com/media/sets/10039-1.jpg
10040,Black Seas Barracuda,2002,148,916,https://cdn.rebrickable.com/media/sets/10040-1.jpg
10041,Main Street,2003,50,640,https://cdn.rebrickable.com/media/sets/10041-1.jpg
10042,American Flag,2003,206,35,https://cdn.rebrickable.com/media/sets/10042-1.jpg
10043,2x2 Electrical Plate,2002,254,1,https://cdn.rebrickable.com/media/sets/10043-1.jpg
10044,Windows and Doors,2002,254,44,https://cdn.rebrickable.com/media/sets/10044-1.jpg
10045,Pillars and Beams,2002,254,13,https://cdn.rebrickable.com/media/sets/10045-1.jpg
10046,Brown Tiles,2002,254,100,https://cdn.rebrickable.com/media/sets/10046-1.jpg
10047,Light Gray Arches,2002,254,36,https://cdn.rebrickable.com/media/sets/10047-1.jpg
10048,Small Wheels and Axles,2002,254,61,https://cdn.rebrickable.com/media/sets/10048-1.jpg
10049,Large Wheels and Axles,2002,254,31,https://cdn.rebrickable.com/media/sets/10049-1.jpg
10050,Gray Fences,2002,254,34,https://cdn.rebrickable.com/media/sets/10050-1.jpg
10051,Transparent Bricks,2002,254,50,https://cdn.rebrickable.com/media/sets/10051-1.jpg
10052,Intelligent Locomotive (Explore),2003,634,7,https://cdn.rebrickable.com/media/sets/10052-1.jpg
10053,Black Slopes 33,2003,254,44,https://cdn.rebrickable.com/media/sets/10053-1.jpg
10054,Black Slopes 33 3 x 2 and 3 x 4,2003,254,68,https://cdn.rebrickable.com/media/sets/10054-1.jpg
10055,Black Slopes 33 3 x 1 and 3 x 3,2003,254,50,https://cdn.rebrickable.com/media/sets/10055-1.jpg
10056,White Plates 2 x n,2002,254,56,https://cdn.rebrickable.com/media/sets/10056-1.jpg
10057,Black Plates 2 x n,2002,254,56,https://cdn.rebrickable.com/media/sets/10057-1.jpg
10058,Red Plates 2 x n,2002,254,56,https://cdn.rebrickable.com/media/sets/10058-1.jpg
10059,Dark Green Plates 2 x n,2002,254,56,https://cdn.rebrickable.com/media/sets/10059-1.jpg
10060,Light Gray Plates 2 x n,2002,254,56,https://cdn.rebrickable.com/media/sets/10060-1.jpg
10061,Black Plates 1 x n,2002,254,84,https://cdn.rebrickable.com/media/sets/10061-1.jpg
10062,Red Plates 1 x n,2002,254,84,https://cdn.rebrickable.com/media/sets/10062-1.jpg
10063,Green Plates 1 x n,2002,254,84,https://cdn.rebrickable.com/media/sets/10063-1.jpg
10064,Light Gray Plates 1 x n,2002,254,84,https://cdn.rebrickable.com/media/sets/10064-1.jpg
10065,White Plates 1 x n,2002,254,84,https://cdn.rebrickable.com/media/sets/10065-1.jpg
10066,Castle Accessories,2002,254,41,https://cdn.rebrickable.com/media/sets/10066-1.jpg
10067,Mini-Fig Headgear,2002,254,53,https://cdn.rebrickable.com/media/sets/10067-1.jpg
10068,Santa Claus,2002,227,39,https://cdn.rebrickable.com/media/sets/10068-1.jpg
10069,Christmas Tree,2002,227,33,https://cdn.rebrickable.com/media/sets/10069-1.jpg
10070,Reindeer,2002,227,26,https://cdn.rebrickable.com/media/sets/10070-1.jpg
10071,Mr. Bunny,2003,229,25,https://cdn.rebrickable.com/media/sets/10071-1.jpg
10072,TECHNIC Beams,2003,254,56,https://cdn.rebrickable.com/media/sets/10072-1.jpg
10073,Bushes,2003,254,130,https://cdn.rebrickable.com/media/sets/10073-1.jpg
10074,Cross Axles,2003,254,68,https://cdn.rebrickable.com/media/sets/10074-1.jpg
10075,Spider-Man Action Pack,2002,706,25,https://cdn.rebrickable.com/media/sets/10075-1.jpg
10076,TECHNIC Gear Wheels,2002,254,39,https://cdn.rebrickable.com/media/sets/10076-1.jpg
10077,TECHNIC Motor,2003,254,55,https://cdn.rebrickable.com/media/sets/10077-1.jpg
10078,Train Connection Wire,2003,254,1,https://cdn.rebrickable.com/media/sets/10078-1.jpg
10079,Snowman,2003,227,42,https://cdn.rebrickable.com/media/sets/10079-1.jpg
10080,Angel,2003,227,33,https://cdn.rebrickable.com/media/sets/10080-1.jpg
10081,Birthday Pack Heart,2004,500,70,https://cdn.rebrickable.com/media/sets/10081-1.jpg
10082,Birthday Pack Daisy,2004,500,70,https://cdn.rebrickable.com/media/sets/10082-1.jpg
10083,Birthday Pack Star,2004,500,70,https://cdn.rebrickable.com/media/sets/10083-1.jpg
10090,Turkey,2003,231,54,https://cdn.rebrickable.com/media/sets/10090-1.jpg
10106,Snowflake,2006,227,107,https://cdn.rebrickable.com/media/sets/10106-1.jpg
10111,Foliferous Tree,2001,254,10,https://cdn.rebrickable.com/media/sets/10111-1.jpg
10112,Bush,2001,254,25,https://cdn.rebrickable.com/media/sets/10112-1.jpg
